source class,source id,target class,target id,relation,relation attribute,note,remark,S_check,T_Check
Record,설담집,Work,SD0087,hasPart,,,,O,O
Record,설담집,Time,1784년,isPublishedAt,,,,O,O
Work,SD0087,Monk,설담 자우,hasWriter,,,,O,O
Record,설담집,Work,SD0031,hasPart,,,,O,O
Record,설담집,Work,SD0032,hasPart,,,,O,O
Record,설담집,Work,SD0053,hasPart,,,,O,O
Record,설담집,Work,SD0054,hasPart,,,,O,O
Record,설담집,Work,SD0003,hasPart,,,,O,O
Record,설담집,Work,SD0042,hasPart,,,,O,O
Record,설담집,Work,SD0072,hasPart,,,,O,O
Record,설담집,Work,SD0089,hasPart,,,,O,O
Record,설담집,Work,SD0058,hasPart,,,,O,O
Record,설담집,Work,SD0073,hasPart,,,,O,O
Record,설담집,Work,SD0075,hasPart,,,,O,O
Record,설담집,Work,SD0088,hasPart,,,,O,O
Work,SD0087,Time,1763년,isWrittenAt,,,,O,O
Work,SD0075,Time,1768년,isWrittenAt,,,,O,O
Work,SD0031,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0032,Person,김담,hasWriter,,,,O,O
Work,SD0031,Work,SD0032,rhymesWith,,,,O,O
Work,SD0053,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0053,Monk,설담 자우,hasSender,,,,O,O
Work,SD0053,Person,김담,hasRecipient,,,,O,O
Work,SD0054,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0054,Monk,설담 자우,hasSender,,,,O,O
Work,SD0054,Person,김담,hasRecipient,,,,O,O
Work,SD0003,Person,김복현,hasWriter,,,,O,O
Work,SD0003,Time,1773년 8월,isWrittenAt,,,,O,O
Work,SD0042,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0072,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0072,Monk,설담 자우,hasSender,,,,O,O
Work,SD0072,Person,김복현,hasRecipient,,,,O,O
Work,SD0089,Person,김복현,hasWriter,,,,O,O
Work,SD0058,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0058,Monk,설담 자우,hasSender,,,,O,O
Work,SD0058,Monk,이봉 희영,hasRecipient,,,,O,O
Work,SD0073,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0073,Monk,설담 자우,hasSender,,,,O,O
Work,SD0073,Monk,설파 상언,hasRecipient,,,,O,O
Work,SD0075,Monk,설담 자우,hasWriter,,,,O,O
Work,SD0075,Monk,설담 자우,hasSender,,,,O,O
Work,SD0075,Monk,연담 유일,hasRecipient,,,,O,O
Work,SD0088,Person,이의경,hasWriter,,,,O,O
Work,SD0088,Time,1770년 9월,isWrittenAt,,,,O,O
Time,1763년,Time,1763년 8월,hasPart,,,,O,O
Time,1763년,Time,1763년 9월,hasPart,,,,O,O
Time,1763년 8월,Time,1763년 8월 27일,hasPart,,,,O,O
Time,1763년 8월,Time,1763년 8월 28일,hasPart,,,,O,O
Time,1763년 8월,Time,1763년 8월 29일,hasPart,,,,O,O
Time,1763년 8월,Time,1763년 8월 30일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 1일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 2일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 3일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 4일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 5일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 6일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 7일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 8일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 9일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 10일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 11일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 12일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 13일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 14일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 15일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 16일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 17일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 18일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 19일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 20일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 21일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 22일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 23일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 24일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 25일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 26일,hasPart,,,,O,O
Time,1763년 9월,Time,1763년 9월 27일,hasPart,,,,O,O
Time,1773년,Time,1773년 8월,hasPart,,,,O,O
Time,1770년,Time,1770년 9월,hasPart,,,,O,O
Work,SD0087,Journey,J17630827,contains,,,,O,O
Work,SD0087,Journey,J17630829,contains,,,,O,O
Work,SD0087,Journey,J17630830,contains,,,,O,O
Work,SD0087,Journey,J17630901,contains,,,,O,O
Work,SD0087,Journey,J17630902,contains,,,,O,O
Work,SD0087,Journey,J17630903,contains,,,,O,O
Work,SD0087,Journey,J17630904,contains,,,,O,O
Work,SD0087,Journey,J17630905,contains,,,,O,O
Work,SD0087,Journey,J17630906,contains,,,,O,O
Work,SD0087,Journey,J17630907,contains,,,,O,O
Work,SD0087,Journey,J17630909,contains,,,,O,O
Work,SD0087,Journey,J17630910,contains,,,,O,O
Work,SD0087,Journey,J17630911,contains,,,,O,O
Work,SD0087,Journey,J17630912,contains,,,,O,O
Work,SD0087,Journey,J17630913,contains,,,,O,O
Work,SD0087,Journey,J17630914,contains,,,,O,O
Work,SD0087,Journey,J17630915,contains,,,,O,O
Work,SD0087,Journey,J17630917,contains,,,,O,O
Work,SD0087,Journey,J17630918,contains,,,,O,O
Work,SD0087,Journey,J17630919,contains,,,,O,O
Work,SD0087,Journey,J17630920,contains,,,,O,O
Work,SD0087,Journey,J17630921,contains,,,,O,O
Work,SD0087,Journey,J17630922,contains,,,,O,O
Work,SD0087,Journey,J17630923,contains,,,,O,O
Work,SD0087,Journey,J17630924,contains,,,,O,O
Work,SD0087,Journey,J17630925,contains,,,,O,O
Work,SD0087,Journey,J17630926,contains,,,,O,O
Work,SD0087,Journey,J17630927,contains,,,,O,O
Work,SD0087,Entry,E008701,contains,,,,O,O
Work,SD0087,Entry,E008702,contains,,,,O,O
Work,SD0087,Entry,E008703,contains,,,,O,O
Work,SD0087,Entry,E008704,contains,,,,O,O
Work,SD0087,Entry,E008705,contains,,,,O,O
Work,SD0087,Entry,E008706,contains,,,,O,O
Work,SD0087,Entry,E008707,contains,,,,O,O
Work,SD0087,Entry,E008708,contains,,,,O,O
Work,SD0087,Entry,E008709,contains,,,,O,O
Work,SD0087,Entry,E008710,contains,,,,O,O
Work,SD0087,Entry,E008711,contains,,,,O,O
Work,SD0087,Entry,E008712,contains,,,,O,O
Work,SD0087,Entry,E008713,contains,,,,O,O
Work,SD0087,Entry,E008714,contains,,,,O,O
Work,SD0087,Entry,E008715,contains,,,,O,O
Work,SD0087,Entry,E008716,contains,,,,O,O
Work,SD0087,Entry,E008717,contains,,,,O,O
Work,SD0087,Entry,E008718,contains,,,,O,O
Work,SD0087,Entry,E008719,contains,,,,O,O
Work,SD0087,Entry,E008720,contains,,,,O,O
Work,SD0087,Entry,E008721,contains,,,,O,O
Work,SD0087,Entry,E008722,contains,,,,O,O
Work,SD0087,Entry,E008723,contains,,,,O,O
Work,SD0087,Entry,E008724,contains,,,,O,O
Work,SD0087,Entry,E008725,contains,,,,O,O
