id,class,prefLabel(ko),prefLabel(zh-hant),birthDate,deathDate,otherName,sokmyeong,note
설담 자우,Monk,설담 자우,雪潭自優,1709년,1770년 1월 29일,,담양 김씨(潭陽金氏),
기,Monk,기,記,,,,,
우,Monk,우,友,,,,,
총,Monk,총,聰,,,,,
혜,Monk,혜,慧,,,,,
정,Monk,정,定,,,,,
두월 묵안,Monk,두월 묵안,斗月默岸,,,,,
낙파 회랭,Monk,낙파 회랭,洛波會冷,,,,,
벽월 우일,Monk,벽월 우일,碧月宇一,,,,,
원효,Monk,원효,元曉,617년,686년,소성거사(小姓居士),설서당(薛誓幢)·설신당(薛新幢),
의상,Monk,의상,義湘,625년,702년,김일지(金日之),김씨(金氏),
윤필,Monk,윤필,尹弼,,,,,
도희,Monk,도희,道熙,,,,,
대순,Monk,대순,大淳,,,,,
금하 광훈,Monk,금하 광훈,錦霞廣訓,,,,,
춘파 상운,Monk,춘파 상운,春坡象運,,,,,
종연,Monk,종연,宗演,,,,,
성월 천일,Monk,성월 천일,城月天日,,,,,
서봉 명색,Monk,서봉 명색,西峰明賾,,,,,
채근,Monk,채근,采根,,,,,
청파 혜원,Monk,청파 혜원,靑坡慧苑,,,,,
긍현,Monk,긍현,肯賢,,,,,
흥파 지순,Monk,흥파 지순,興波智淳,,,,,
경헌,Monk,경헌,敬憲,,,,,
명간,Monk,명간,明衎,,,,,
서량,Monk,서량,舒良,,,,,
이봉 희영,Monk,이봉 희영,离峯僖咏,,,,,
시경,Monk,시경,時敬,,,,,
소요 태능,Monk,소요 태능,逍遙太能,1563년,1649년,,오씨(吳氏),
환월 민숙,Monk,환월 민숙,喚月旻肅,,,,,
금파,Monk,금파,金波,,,,,
연파 성활,Monk,연파 성활,蓮波,,,,,
세환,Monk,세환,世幻,,,,,
야학,Monk,야학,夜壑,,,,,
설봉 회정,Monk,설봉 회정,雪峰懷淨,1678년,1738년,,조씨(曺氏),
낙서 사운,Monk,낙서 사운,樂西司運,,,,,
자인,Monk,자인,慈忍,,,,,
학봉,Monk,학봉,鶴峯,,,,,
무가,Monk,무가,無價,,,,,
부설,Monk,부설,浮雪,,,,진광세(陳光世),
진표,Monk,진표,眞表,718년,,,정씨(井氏),
서봉 청민,Monk,서봉 청민,西峯淸敏,,,,,
벽송 지엄,Monk,벽송 지엄,碧松智嚴,1464년 3월 15일,1534년 11월 1일,야로(埜老),송씨(宋氏),
한계 성순,Monk,한계 성순,寒溪性恂,,,,,
인일,Monk,인일,麟馹,,,,,
반룡 처원,Monk,반룡 처원,盤龍處愿,,,,,
