id,class,prefLabel(ko),prefLabel(zh-hant),birthDate,deathDate,otherNmae,ja,ho
맹명씨,Person,맹명씨,孟明氏,,,,,
김복현,Person,김복현,金福鉉,,,대중 김 수사(岱中金秀士),,송음(松陰)
김담,Person,김담,金墰,1678년,1743년,,사관(士寬),동강(東岡)
황윤석,Person,황윤석,黃胤錫,1729년,1791년,,영수(永叟),이재(頤齋)
김유옥,Person,김유옥,金瑬玉,,,,,
박영,Person,박영,朴令,,,,,
성달생,Person,성달생,成達生,1376년,1444년,,효백(孝伯),
손순목,Person,손순목,孫順穆,,,,,
유복통,Person,유복통,劉福通,1321년 7월 8일,1363년 2월 23일,,,
이고,Person,이고,李孤,,,,,
각민,Person,각민,覺敏,,,,,
소응천,Person,소응천,蘇凝天,1704년,1760년,,일혼(一渾),춘암(春庵)
백광훈 이손,Person,백광훈 이손,白光勳耳孫,,,,,
주지번,Person,주지번,朱之蕃,,1624년,,,
김진상,Person,김진상,金鎭商,1687년,1755년,,여익(汝翼),퇴어(退漁)
신경준,Person,신경준,申景濬,1712년 4월 15일,1781년 5월 21일,,순민(舜民),여암(旅庵)
신말주,Person,신말주,申末舟,1429년,1503년,,자집(子楫),귀래정(歸來亭)
순창 설씨부인,Person,순창 설씨부인,薛氏夫人,1429년,1508년,,,
신숙주,Person,신숙주,申叔舟,1417년 6월 20일,1475년 6월 21일,,범옹(泛翁),희현당(希賢堂)·보한재(保閑齋)
설총,Person,설총,"薛聰,",655년,730년,,총지(聰智),빙월당(氷月堂)
이규보,Person,이규보,李奎報,1168년 12월 16일,1241년 9월 2일,,춘경(春卿),백운거사(白雲居士)·백운산인(白雲山人)
김시습,Person,김시습,金時習,1435년,1493년,설잠(雪岑),열경(悅卿),매월당(梅月堂)·동봉(東峰)·벽산청은(碧山淸隱)·췌세옹(贅世翁)
김인후,Person,김인후,金麟厚,1510년,1560년,,후지(厚之),하서(河西)·담재(湛齋)
신장,Person,신장,申檣,1382년,1433년,,제부(濟夫),암헌(巖軒)
이의경,Person,이의경,李毅敬,1704,1778년,,경활(景活),동강(桐岡)
