id,class,category,prefLabel(ko),prefLabel(zh-hant),otherName,coord,existance,note
순창 강천사,Temple,사찰,순창 강천사,剛泉寺,복천사(福泉寺),"35.3984294827641, 127.055526831675",현존,
순창 법운암,Temple,암자,순창 법운암,法雲庵,,,부존,여암유고 법운암기 참조
정읍 상두사,Temple,사찰,정읍 상두사,象頭寺,,"35.6563642562572, 127.039929555496",현전,現 상두사지
김제 금산사,Temple,사찰,김제 금산사,金山寺,,"35.7231393592908, 127.053491029575",현존,
김제 금산사 송대,Temple,,김제 금산사 송대,金山寺松臺,,"35.7233485144431, 127.05436431407",현존,
감로암,Temple,암자,감로암,甘露庵,,,부존,
감로암 비전,Temple,부속건물,감로암 비전,甘露庵碑殿,,,부존,
은격암,Temple,암자,은격암,隱閴庵,,,부존,
완주 화암사,Temple,사찰,완주 화암사,花巖寺,,"36.0663287934386, 127.287124041116",현존,
완주 화암사 우화루,Temple,부속건물,완주 화암사 우화루,花巖寺雨花樓,,,현존,
완주 화암사 향각,Temple,부속건물,완주 화암사 향각,花巖寺香閣,,,부존,
완주 화암사 의상암,Temple,암자,완주 화암사 의상암,花巖寺義相庵,,,부존,
완주 화암사 윤필암,Temple,암자,완주 화암사 윤필암,花巖寺尹弼庵,,,부존,
완주 화암사 신실,Temple,부속건물,완주 화암사 신실,花巖寺新室,,,부존,
완주 안심사,Temple,사찰,완주 안심사,安心寺,,"36.1084682337497, 127.303267366855",현존,
완주 안심사 사리각,Temple,부속건물,완주 안심사 사리각,安心寺舍利閣,,,부존,
완주 안심사 적설루,Temple,부속건물,완주 안심사 적설루,安心寺積雪樓,,,부존,
완주 안심사 향각,Temple,부속건물,완주 안심사 향각,安心寺香閣,,,부존,
완주 안심사 한산전,Temple,부속건물,완주 안심사 한산전,安心寺寒山殿,,,부존,
망휴암,Temple,암자,망휴암,望休庵,,,부존,
망휴암 장륙전,Temple,부속건물,망휴암 장륙전,望休庵丈六殿,,,부존,
득모암,Temple,암자,득모암,得母庵,백운암(白雲庵),,부존,
중봉암,Temple,암자,중봉암,中峯庵,,,부존,
허통암,Temple,암자,허통암,許洞庵,,,부존,
완주 대둔암,Temple,암자,완주 대둔암,大芚庵,,,부존,
대은암,Temple,암자,대은암,岱隱庵,,,부존,
완주 백운암,Temple,암자,완주 백운암,白雲庵,,"35.981710, 127.213519",현존,
행도암,Temple,암자,행도암,行道庵,,,부존,
완주 신흥사,Temple,사찰,완주 신흥사,新興寺,,"36.0291819503866, 127.291144252767",부존,3차 지형도(1:50000) 금산 참조. 現 영화산장(완주 경천면 구재길364-4)으로 위경도 비정
운문사,Temple,사찰,운문사,雲門寺,,"36.0124545592337, 127.302322342409",부존,2차 지형도(1:50000) 금산 참조
운문사 서굴,Temple,,운문사 서굴,雲門寺西窟,,,부존,
내둔암,Temple,암자,내둔암,內屯庵,,"35.9324725594988, 127.283276019024",부존,2차 지형도(1:50000)용담 참조. 現 수만리마애석불로 위경도 비정
완주 송광사,Temple,사찰,완주 송광사,松廣寺,,"35.885768474258, 127.24175018436",현존,
완주 송광사 관음전,Temple,부속건물,완주 송광사 관음전,松廣寺觀音殿,,"35.8853044734242, 127.241679556067",현존,
부안 개암사,Temple,사찰,부안 개암사,開巖寺,,"35.6628196371015, 126.649816566685",현존,
부안 실상사,Temple,사찰,부안 실상사,實相寺,,"35.6361199894884, 126.57576392043",현전,現 실상사지
부안 도솔암,Temple,암자,부안 도솔암,兜率庵,,"35.654045, 126.650306",현전,現 월정약수터
우금굴,Temple,,우금굴,禹金窟,,"35.6673943015057, 126.648501600583",현전,
부안 내소사,Temple,사찰,부안 내소사,來蘇寺,소래사(蘇來寺),"35.617999673597, 126.587430070358",현존,
장성 백양사,Temple,사찰,장성 백양사,白羊寺,정토사(淨土寺),"35.4397425292081, 126.882855592224",현존,
장성 백양사 쌍계루,Temple,부속건물,장성 백양사 쌍계루,白羊寺雙溪樓,,"35.4399939220511, 126.884179612755",현존,
장성 백양사 향각,Temple,부속건물,장성 백양사 향각,白羊寺香閣,,,부존,
장성 운문암,Temple,암자,장성 운문암,雲門菴,,"35.45692194862, 126.868936891099",현존,
장성 천진암,Temple,암자,장성 천진암,天眞菴,,"35.4433383959111, 126.887180281038",현존,
장성 백양사 백련암,Temple,암자,장성 백양사 백련암,白羊寺白蓮庵,,,부존,
장성 백양사 영천암,Temple,암자,장성 백양사 영천암,白羊寺靈泉庵,,,부존,
장성 백양사 약사암,Temple,암자,장성 백양사 약사암,白羊寺藥師庵,,"35.4452186669157, 126.881202396232",현존,
장성 백양사 물외암,Temple,암자,장성 백양사 물외암,白羊寺物外庵,,,부존,
부안 월명암,Temple,암자,부안 월명암,月明庵,,"35.6406467561629, 126.558545073613",현존,
등운암,Temple,암자,부안 등운암,登雲庵,,,부존,
묘적암,Temple,암자,부안 묘적암,妙寂庵,,"35.6406467561629, 126.558545073613",현존,월명암의 부속 암자. 부안 월명암과 같은 위경도 부여.
구월암,Temple,암자,구월암,九月菴,,,부존,
동암 청심대,Temple,,동암 청심대,東菴淸心臺,,,부존,
벽송대,Temple,,벽송대,碧松臺,,,부존,
취연대,Temple,,취연대,鷲鷰臺,,,부존,
하동 칠불암,Temple,암자,하동 칠불암,七佛庵,,"35.282985, 127.608986",현존,
함양 무주암,Temple,암자,함양 무주암,無住庵,,"35.375229, 127.627530",현존,現 상무주암
