id,class,category,detailedCategory,prefLabel(ko),prefLabel(zh-hant)
SD0087,Work,산문,유람기,몽행록,夢行錄
SD0031,Work,운문,오언율시,동강 선생의 시를 삼가 차운하여 시찰을 엮어 만든 책의 뒤에 쓰다,謹次東岡先生韻 題詩札卷後
SD0032,Work,운문,오언율시,동강 선생 원운,原韻
SD0053,Work,산문,편지,동강 김담 선생께 올리는 편지,上東岡金先生
SD0054,Work,산문,편지,두 번째 편지,又
SD0003,Work,산문,서문,설담집서,雪潭集序
SD0042,Work,운문,칠언율시,대중 김 수사와 이별하며,奉別岱中金秀士
SD0072,Work,산문,편지,송음산거 김복현에게 올리는 편지,上松陰山居
SD0089,Work,운문,제문,송음의 제문,松陰祭文
SD0058,Work,산문,편지,이봉에게 답하여 보내는 편지,答离峯
SD0073,Work,산문,편지,설파에게 주는 편지,與雪坡
SD0075,Work,산문,편지,연담에게 답하는 편지,答蓮潭
YA0001,Work,산문,기문,법운암기,法雲庵記
YA0002,Work,산문,기문,변산내소사기,卞山來蘓寺記
SD0088,Work,산문,탑지,설담대화상탑지,雪潭大和尙塔誌
SK0001,Work,운문,칠언율시,또 불사의방장에 제하다,又題不思議方丈
MW0001,Work,운문,오언율시,불사의방,不思議房
